Configuration_ID,Has_Match
0,True
1,False
2,False
3,False
4,True
5,False
6,False
7,False
8,False
9,True
10,False
11,True
12,False
13,False
14,False
15,False
16,False
17,True
18,True
19,False
20,False
21,True
22,True
23,False
24,False
25,True
26,True
27,False
28,True
29,False
30,False
31,False
32,False
33,True
34,False
35,True
36,True
37,False
38,False
39,False
40,False
41,False
42,False
43,True
44,True
45,True
46,True
47,False
48,False
49,False
50,True
51,False
52,False
53,False
54,False
55,False
56,True
57,False
58,False
59,False
60,False
61,True
62,False
63,True
64,False
65,True
66,True
67,True
68,True
69,True
70,False
71,False
72,False
73,False
74,False
75,True
76,False
77,False
78,False
79,False
80,True
81,False
82,True
83,False
84,False
85,True
86,False
87,False
88,True
89,True
90,False
91,False
92,False
93,True
94,False
95,False
96,True
97,False
98,False
99,False
100,False
101,False
102,False
103,True
104,False
105,True
106,False
107,False
108,True
109,True
110,False
111,False
112,False
113,False
114,False
115,True
116,False
117,False
118,False
119,False
120,True
121,False
122,False
123,False
124,False
125,False
126,False
127,False
128,False
129,False
130,True
131,False
132,False
133,False
134,False
135,False
136,True
137,True
138,False
139,True
140,True
141,False
142,True
143,False
144,True
145,True
146,True
147,True
148,False
149,False
150,False
151,False
152,False
153,True
154,False
155,False
156,True
157,False
158,False
159,False
160,False
161,False
162,True
163,False
164,False
165,True
166,True
167,False
168,True
169,False
170,True
171,True
172,True
173,False
174,True
175,True
176,False
177,True
178,True
179,False
180,False
181,False
182,False
183,False
184,True
185,False
186,False
187,False
188,True
189,True
190,False
191,False
192,False
193,True
194,False
195,True
196,False
197,False
198,False
199,True
200,True
201,False
202,False
203,False
204,False
205,True
206,False
207,False
208,False
209,False
210,False
211,False
212,True
213,False
214,False
215,False
216,True
217,False
218,True
219,False
220,True
221,True
222,False
223,True
224,False
225,True
226,False
227,False
228,False
229,False
230,False
231,False
232,False
233,False
234,False
235,False
236,False
237,False
238,False
239,True
240,False
241,False
242,False
243,True
244,False
245,True
246,False
247,False
248,False
249,False
250,True
251,False
252,False
253,False
254,False
255,True
256,True
257,True
258,False
259,False
260,True
261,True
262,False
263,False
264,True
265,False
266,False
267,False
268,True
269,True
270,False
271,False
272,True
273,False
274,False
275,False
276,True
277,False
278,True
279,False
280,True
281,False
282,False
283,False
284,False
285,True
286,False
287,False
288,True
289,False
290,False
291,False
292,False
293,False
294,True
295,False
296,False
297,False
298,False
299,True
300,False
301,False
302,False
303,False
304,True
305,False
306,False
307,True
308,False
309,True
310,False
311,True
312,False
313,False
314,False
315,False
316,False
317,True
318,True
319,False
320,False
321,False
322,True
323,False
324,False
325,False
326,False
327,False
328,False
329,True
330,False
331,True
332,False
333,False
334,False
335,True
336,False
337,False
338,False
339,False
340,True
341,False
342,False
343,True
344,True
345,False
346,True
347,True
348,True
349,True
350,True
351,True
352,False
353,True
354,True
355,False
356,False
357,False
358,False
359,False
360,False
361,False
362,True
363,False
364,True
365,True
366,False
367,False
368,True
369,True
370,False
371,False
372,False
373,True
374,True
375,True
376,False
377,False
378,False
